Se crearon correctamente los directorios del usuario m el 2023-03-21 13:18:17
El usuario m se registró el 2023-03-21 13:18:17
El usuario m hizo login el 2023-03-21 13:38:39
El usuario m hizo login el 2023-03-21 13:40:17
El usuario m hizo login el 2023-03-21 13:40:36
El usuario m hizo login el 2023-03-21 13:41:04
El usuario m hizo login el 2023-03-21 13:41:38
El usuario m hizo login el 2023-03-21 13:42:06
El usuario m hizo login el 2023-03-21 13:42:56
El usuario m hizo login el 2023-03-21 13:45:13
El usuario m hizo login el 2023-03-21 13:49:40
El usuario m hizo login el 2023-03-21 13:51:19
El usuario m hizo login el 2023-03-21 13:51:48
El usuario m hizo login el 2023-03-21 14:19:32
El usuario m hizo login el 2023-03-21 16:28:47
El usuario m hizo login el 2023-03-21 19:34:12
El usuario m hizo login el 2023-04-11 12:55:06
El usuario m registró gestos el 2023-04-11 12:55:08
El usuario m hizo login el 2023-04-11 20:48:14
El usuario m registró gestos el 2023-04-11 20:48:17
El usuario m hizo login el 2023-04-11 20:54:40
El usuario m registró gestos el 2023-04-11 20:54:42
El usuario m hizo login el 2023-04-11 21:01:22
El usuario m registró gestos el 2023-04-11 21:01:26
El usuario m registró gestos el 2023-04-11 21:03:17
El usuario m registró gestos el 2023-04-11 21:03:48
El usuario m hizo login el 2023-04-11 21:05:06
El usuario m registró gestos el 2023-04-11 21:05:27
El usuario m hizo login el 2023-04-11 21:07:06
El usuario m registró gestos el 2023-04-11 21:07:16
El usuario m hizo login el 2023-04-11 21:44:01
El usuario m registró gestos el 2023-04-11 21:44:11
El usuario m hizo login el 2023-04-11 21:51:06
El usuario m registró gestos el 2023-04-11 21:51:10
El usuario m hizo login el 2023-04-11 21:52:22
El usuario m registró gestos el 2023-04-11 21:52:23
El usuario m hizo login el 2023-04-11 21:57:35
El usuario m registró gestos el 2023-04-11 21:57:41
El usuario m hizo login el 2023-04-11 22:01:54
El usuario m registró gestos el 2023-04-11 22:01:55
El usuario m visualizó estadísticas de gestos el 2023-04-11 22:05:25
El usuario m hizo login el 2023-04-12 09:03:22
El usuario m registró gestos el 2023-04-12 09:03:26
El usuario m hizo login el 2023-04-12 13:33:06
El usuario m registró gestos el 2023-04-12 13:33:07
El usuario m hizo login el 2023-04-12 13:41:35
El usuario m hizo login el 2023-04-12 13:42:38
El usuario m hizo login el 2023-04-12 13:50:12
El usuario m hizo login el 2023-04-12 13:58:47
El usuario m registró gestos el 2023-04-12 13:58:48
El usuario m hizo login el 2023-04-12 15:41:45
El usuario m registró emociones el 2023-04-12 15:41:47
El usuario m hizo login el 2023-04-12 16:22:43
El usuario m hizo login el 2023-04-12 16:23:34
